"","stars","author","review_counts","review"
"1","5","Sarah M.","5 reviews","    I got my son this tablet for bringing his math grade up 19 points in 1 marking period. Not only did I get it on sale for $40 (usually they are $50 but black Friday they were $35), it was really easy to set up. You can have multiple ""accounts"" on there (2 adults and I think 2 kids) so they each require a password to log in. He ended up dropping it face down on our tiled kitchen floor, cracking the screen. I chatted with Amazon's customer service (based in India, so I used the chat option online) and they ended up sending me a replacement kindle, 2 day shipping! No where offers a user error warranty and now we don't have to deal with the cracked screen. I cant see spending hundreds of dollars on an Ipad, when you can get this tablet for $50 and end up with superior customer service!!!   "
"2","5","Amy P.","19 reviews","    I love it! It is user friendly and has all the features that you could want in a table. Amazon has amazing customer service and I am also a Prime member. I like to read, but I don't like to carry cumbersome books around. I can find almost anything I want to read on my kindle and download it for an affordable price. It fits perfect in my purse so I can use it anywhere to kill time. I love the wifi and browsing features as well. The 7"" screen is worth the small amount extra. I highly recommend the Kindle to anyone in the market for a tablet.    "
"3","5","Whitney H.","16 reviews","    The Fire HD is fantastic. I purchased 2, one for each of my kids and they love it. They are too young to own a phone so instead of stealing my phone and using all my space to download their games, they can now have their own. I love that it has parental blocks so they can't purchase anything without my password and I can block the internet and email if needed. Since it's a Kindle, we have access to books as well so when it's time for them to do their reading, they don't need to do anything else, they just download a book.    "
"4","2","Jessica R.","187 reviews","    The battery life on this is terrible. Amazons customer service is terrible. Their solution is to buy another kindle. Why would I invest more money in a product that only lasted 8 months and they had no interest in helping fix the one I had or replace it. They just want your money and then they'll place you on hold and transfer you to 3647499 people making you rehash your story and problem 64738292 times before telling you sorry can't help, but you can buy another one! Awful!    "
"5","4","Emily D.","10 reviews","    Awesome little tablet; however, I do wish that there were more available apps and more reliable apps for android tablets. The tablet itself is good for the most part, but the apps crash quite often. I like the battery life of the tablet so far and its usability. There are some things (like downloads) I can't quite seem to find on it, but hopefully I will learn the tricks of the trade soon! I even found it an adorable little case!    "
"6","1","Channon M.","19 reviews","    I purchased not only one of these tablets, but two of them, just to be continually disappointed. In the first two months of usage, no problems at all. The interface was a little clunky but i got used to it. Then after adding music to my library, the device would crash ALL THE TIME. Even once restored and restored, i would continually have the same issue. I have since purchased an iPad mini and am so much happier because of it.    "
"7","5","Shelley D.","14 reviews","    What a simple and lightning fast little tablet! I love that it perfectly syncs to my Amazon account. It is a very affordable choice, and I can read my kindle books, watch Amazon videos (even download them to watch later, which is very helpful when travelling. It is also good for other functions, such as games, apps, and simple internet browsing. The battery life is good, and I use it all the time.    "
"8","1","Loni R.","142 reviews","    I absolutely hated this tablet, it runs out of storage which you can not upgrade you have to pay to do pretty much anything on it and god forbid you have added money to an Amazon account and forgot your password. If so you are out that money. I will never own another, and will always from here on out use full Android devices only, functionality was poop Here is what I thought of mine.   "
"9","4","Misty Y.","61 reviews","    LOVE my tablet, and my kids do too! Love that I can put it on FreeTime for my kids and know that they will be limited on what and how long they can play! Super easy to use. Only issue to this point has been that the kids tend to quickly use up all the memory and I frequently have to delete things just so that it can connect to wifi. Definitely need to look into expanding storage!   "
"10","5","claudia w.","8 reviews","    At the begining i didn't like the way it run, it wasn't as costumer friendly as an ipad, but i got used to it within a couple of hours and then i loved it! I use it all the time, i read on it, i stream movies and TV shows, i play games and check my social media... its hd and so much easier than go and find my TV remote, everything can b done in seconds... LOVE IT   "
